token_id,frequency_rank
11,0
3332,1
25,2
13,3
2247,4
12,5
15,6
794,7
220,8
1359,9
279,10
20,11
198,12
16,13
364,14
323,15
17,16
311,17
57,18
264,19
330,20
19,21
2037,22
23,23
52,24
18,25
21,26
57352,27
315,28
245,29
51,30
48,31
24,32
2994,33
6749,34
262,35
518,36
304,37
22,38
77,39
65297,40
41,41
2366,42
62,43
42,44
382,45
71,46
482,47
14,48
235,49
769,50
1232,51
85,52
286,53
7532,54
941,55
320,56
1045,57
13812,58
11905,59
34,60
1834,61
284,62
73,63
627,64
53,65
39,66
56,67
80,68
79,69
369,70
38,71
10,72
6744,73
30356,74
70,75
54,76
89,77
449,78
62049,79
37,80
374,81
88,82
49,83
33,84
55,85
1489,86
2583,87
64,88
74857,89
86,90
43,91
9468,92
1787,93
72,94
3146,95
76,96
5927,97
32636,98
35,99
66,100
74,101
37609,102
499,103
516,104
7740,105
84,106
40,107
87,108
415,109
44,110
3592,111
477,112
45,113
0,114
3922,115
8,116
78,117
37928,118
65,119
1506,120
2371,121
1502,122
36,123
1734,124
83,125
9554,126
1532,127
69,128
409,129
98,130
1840,131
228,132
46,133
5821,134
310,135
32,136
5524,137
1,138
36729,139
47,140
248,141
430,142
67,143
11410,144
50,145
12061,146
433,147
10386,148
3865,149
271,150
82,151
112,152
246,153
30,154
389,155
1129,156
256,157
4655,158
68,159
253,160
334,161
75,162
1482,163
6856,164
11318,165
439,166
2156,167
2233,168
916,169
14900,170
12942,171
337,172
6157,173
701,174
81,175
596,176
101,177
609,178
16552,179
341,180
238,181
14628,182
35293,183
678,184
1292,185
236,186
761,187
512,188
1285,189
59005,190
1144,191
9032,192
42260,193
1277,194
5981,195
4924,196
3506,197
249,198
163,199
9884,200
358,201
14728,202
2020,203
4451,204
2786,205
6993,206
4467,207
510,208
59240,209
4354,210
13816,211
15959,212
9164,213
31456,214
12229,215
50779,216
45527,217
54849,218
17341,219
55137,220
86977,221
48684,222
29941,223
23118,224
2754,225
13628,226
8700,227
59740,228
250,229
2705,230
108,231
422,232
97,233
340,234
20600,235
3114,236
890,237
10190,238
242,239
387,240
6885,241
6578,242
2355,243
649,244
224,245
7094,246
234,247
4329,248
2304,249
11562,250
